                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7863,                 7.3514,                 4.2203,                  3e-05,                0.00735,                  2e-05,                      0,                 4.8663,                 5.4952,                 4.1626,             0.00054332,             0.00054332,             0.00054332
                      1,                 3.6526,                 4.8952,                  3.315,                0.00012,                0.01163,                  6e-05,                  3e-05,                 4.5098,                 4.9165,                   3.97,              0.0010881,              0.0010881,              0.0010881
                      2,                 2.8742,                 3.6424,                 2.4798,                0.61987,                0.08974,                0.05595,                0.01973,                 2.7694,                 3.7935,                 2.7028,              0.0016219,              0.0016219,              0.0016219
                      3,                 2.6008,                 2.9737,                 2.1566,                0.22731,                0.29663,                 0.1504,                0.05376,                 2.5204,                 3.0455,                  2.433,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.3521,                 2.5751,                 1.9404,                0.37168,                0.30657,                0.27102,                0.11188,                 2.3347,                 2.6079,                 2.1103,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.1705,                 2.2479,                 1.7867,                0.32358,                 0.3674,                0.34858,                0.16426,                 2.0235,                 2.1596,                 1.8838,               0.001601,               0.001601,               0.001601
                      6,                 2.0597,                 2.0716,                 1.6799,                0.42744,                0.48021,                0.44232,                 0.2165,                 1.9506,                  1.954,                 1.8503,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.0338,                 1.9908,                 1.6254,                0.55546,                0.48287,                0.49198,                0.25245,                 1.9143,                  1.861,                 1.7944,               0.001568,               0.001568,               0.001568
                      8,                 1.9666,                 1.8088,                 1.5825,                0.55154,                 0.4895,                0.43856,                0.21271,                 1.8756,                 1.9211,                 1.7991,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.9204,                 1.7443,                 1.5154,                0.69578,                0.38418,                0.47681,                0.22734,                 1.8766,                 1.7587,                 1.7978,               0.001535,               0.001535,               0.001535
                     10,                 1.8647,                 1.7325,                 1.5275,                0.75211,                0.44416,                0.54308,                 0.2912,                   1.78,                 1.7154,                 1.6922,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.8391,                 1.6941,                 1.5024,                0.75907,                0.42744,                0.52343,                0.27291,                 1.7915,                 1.7232,                  1.707,               0.001502,               0.001502,               0.001502
                     12,                 1.8256,                 1.6027,                 1.4776,                0.70197,                0.45665,                0.56399,                0.27721,                 1.8144,                 1.6725,                 1.6972,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.805,                  1.589,                  1.462,                0.72506,                0.49082,                0.57966,                0.30511,                 1.7574,                 1.6219,                 1.7015,               0.001469,               0.001469,               0.001469
                     14,                 1.7171,                 1.5185,                 1.4455,                0.76196,                0.51087,                0.61375,                 0.3375,                 1.7071,                 1.5429,                 1.6354,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.7761,                 1.5152,                  1.455,                0.65353,                0.39203,                0.45362,                0.23169,                 1.7927,                 1.8296,                 1.7036,               0.001436,               0.001436,               0.001436
                     16,                 1.7154,                 1.4866,                 1.4024,                0.76678,                0.54919,                0.62954,                0.32581,                 1.7663,                 1.5842,                 1.6655,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.6848,                 1.3668,                 1.3902,                 0.6734,                0.57425,                0.63285,                 0.3204,                 1.7364,                 1.4501,                 1.6026,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.6426,                 1.3472,                 1.3907,                0.79152,                0.61383,                0.69172,                0.35412,                 1.6823,                 1.3842,                 1.6171,              0.0013864,              0.0013864,              0.0013864
                     19,                  1.658,                 1.3462,                 1.3656,                0.70064,                0.59711,                0.64638,                0.34169,                 1.7212,                 1.4581,                 1.6399,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6299,                 1.3085,                 1.3386,                0.68631,                0.57913,                0.64494,                0.36477,                 1.5876,                 1.3606,                 1.5342,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.6428,                 1.3289,                 1.3836,                0.69274,                 0.5111,                0.58294,                0.29749,                 1.8177,                 1.7304,                 1.7154,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.5816,                 1.2985,                 1.3398,                0.78368,                0.56231,                0.64644,                0.37252,                 1.6163,                 1.5569,                 1.5309,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.5381,                 1.2791,                 1.3286,                0.84181,                0.64207,                0.72887,                 0.3959,                  1.598,                 1.2835,                 1.5211,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.5619,                 1.1966,                 1.3115,                0.74531,                0.61293,                0.67734,                  0.361,                 1.6439,                 1.3493,                 1.5822,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.5521,                 1.2076,                 1.3289,                0.80454,                0.62475,                0.69804,                0.38107,                 1.6703,                 1.3071,                 1.5528,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.5586,                 1.2162,                 1.3473,                0.79786,                0.69986,                0.73889,                0.42388,                 1.5468,                 1.2411,                 1.5038,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.5223,                 1.1827,                 1.2896,                0.75387,                0.64696,                0.71666,                0.40632,                 1.5986,                 1.3211,                 1.5278,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.5078,                 1.1738,                 1.2955,                0.79425,                0.65517,                0.72079,                0.42221,                 1.5322,                 1.2146,                 1.4874,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.4914,                 1.1401,                 1.2888,                0.80824,                0.66481,                0.73249,                0.41164,                 1.5663,                 1.2221,                 1.4954,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.4991,                 1.1301,                 1.2948,                0.76669,                0.59465,                0.65057,                0.35818,                 1.6295,                 1.3796,                 1.5624,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.5211,                 1.1643,                   1.29,                0.84636,                0.68766,                0.76338,                0.45876,                 1.4938,                 1.1588,                 1.4634,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.4863,                 1.1141,                 1.2776,                0.83103,                0.63589,                 0.7352,                0.41499,                 1.5122,                 1.2539,                 1.4694,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.4998,                 1.1166,                 1.2475,                0.82434,                0.67519,                0.75803,                0.43642,                 1.5388,                 1.2442,                 1.4839,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.4652,                 1.0705,                 1.2417,                0.83117,                0.68077,                 0.7513,                0.42085,                 1.4913,                   1.27,                 1.4571,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.4295,                 1.0554,                 1.2451,                0.81846,                0.62833,                0.69451,                0.39517,                  1.587,                 1.3409,                 1.5092,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.456,                 1.0444,                 1.2532,                0.82171,                0.67125,                 0.7515,                 0.4248,                 1.5877,                 1.2067,                 1.4861,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.4344,                  1.051,                 1.2472,                0.86004,                0.70646,                0.76667,                0.44368,                 1.4965,                 1.0775,                 1.4479,              0.0010729,              0.0010729,              0.0010729
                     38,                   1.44,                 1.0316,                  1.228,                0.87336,                0.67122,                0.75029,                0.43297,                 1.5253,                 1.1085,                 1.4706,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.4168,                 1.0261,                 1.2321,                0.92132,                0.61528,                0.76288,                0.45565,                 1.4803,                  1.141,                 1.4323,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4159,                 1.0019,                 1.2167,                0.89452,                0.70972,                0.78528,                  0.458,                 1.4902,                  1.098,                 1.4435,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3895,                0.97924,                 1.2125,                0.80738,                0.70618,                0.74766,                0.44286,                 1.5063,                 1.1557,                 1.4579,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3782,                0.98118,                 1.2059,                0.84754,                0.73297,                0.78436,                 0.4567,                   1.54,                 1.1015,                 1.4538,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.3944,                 1.0007,                 1.2136,                0.87437,                0.69809,                0.77736,                0.44493,                 1.5067,                 1.1211,                 1.4413,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3648,                0.96212,                 1.1931,                 0.8135,                0.71648,                0.75931,                 0.4372,                 1.4517,                 1.1755,                 1.4178,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.3908,                0.95832,                 1.2027,                0.85724,                0.70735,                0.79004,                0.45494,                  1.464,                 1.0684,                 1.4121,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.4029,                0.98998,                 1.2068,                 0.8589,                0.65364,                0.76935,                0.44032,                 1.4383,                 1.0973,                 1.4207,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.4223,                0.97291,                 1.2059,                0.86418,                0.70795,                0.77562,                0.44513,                  1.478,                 1.1085,                 1.4207,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3915,                0.97167,                 1.2011,                0.92273,                0.64731,                0.77891,                0.44564,                 1.4624,                 1.0808,                 1.4166,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.3875,                0.96552,                  1.201,                0.85482,                0.64359,                0.75277,                 0.4172,                 1.5499,                 1.2162,                  1.439,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.3314,                0.90082,                 1.1755,                0.85118,                0.71771,                0.78134,                0.46635,                 1.4707,                 1.0591,                 1.3898,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3295,                0.91932,                 1.1645,                0.84678,                0.74818,                0.79779,                0.47883,                 1.4255,                  1.041,                 1.3775,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3512,                0.93354,                 1.1762,                 0.8856,                0.66258,                0.75668,                0.43405,                 1.4605,                 1.1154,                 1.4049,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.3592,                0.91678,                 1.1876,                0.81254,                0.76288,                0.79541,                0.47359,                 1.4668,                 1.0289,                 1.3803,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3296,                0.86237,                 1.1798,                0.87186,                 0.7128,                0.78894,                0.47239,                 1.4203,                 1.0786,                 1.3768,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3315,                0.89823,                 1.1799,                0.90015,                0.72519,                 0.8083,                0.47687,                  1.392,                 1.0565,                 1.3754,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.3309,                0.90119,                 1.1782,                0.86611,                0.73138,                0.78795,                0.48819,                 1.3971,                 1.0295,                  1.351,             0.00075932,             0.00075932,             0.00075932
                     57,                  1.307,                 0.8607,                 1.1556,                0.86161,                0.69401,                0.78477,                0.47054,                   1.46,                 1.0627,                 1.3979,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2949,                0.86789,                 1.1516,                0.89773,                0.70276,                0.77509,                0.46946,                 1.4069,                 1.1459,                 1.3798,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.2966,                0.87753,                 1.1649,                0.93036,                0.66283,                0.78443,                0.47122,                 1.4303,                  1.041,                 1.3663,             0.00070981,             0.00070981,             0.00070981
                     60,                  1.293,                0.87588,                 1.1496,                0.93384,                  0.681,                0.78534,                0.46953,                 1.4317,                 1.0636,                  1.366,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2649,                0.84968,                  1.153,                0.86052,                0.75006,                0.80332,                0.48258,                 1.4185,                 1.0232,                 1.3697,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2711,                0.84219,                 1.1634,                0.89865,                 0.7233,                0.78758,                0.46397,                 1.4656,                 1.0981,                 1.3888,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.2739,                0.83837,                 1.1549,                0.88483,                0.74887,                0.80285,                0.46402,                 1.4266,                 1.0101,                 1.3841,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.2919,                0.83226,                 1.1604,                 0.8781,                 0.7191,                0.80029,                0.48247,                 1.4561,                 1.0174,                 1.3757,             0.00062729,             0.00062729,             0.00062729
                     65,                  1.271,                0.80555,                 1.1339,                0.83728,                0.74337,                 0.8029,                0.48506,                 1.4091,                 0.9982,                  1.356,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.2835,                0.82704,                  1.153,                0.91059,                 0.7056,                0.80038,                 0.4723,                 1.4177,                 1.0192,                 1.3758,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.2813,                0.81947,                 1.1563,                0.87279,                0.71034,                0.79568,                0.47867,                 1.4131,                 1.0847,                 1.3665,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2454,                0.82966,                 1.1391,                0.89806,                 0.6973,                0.80759,                0.49955,                 1.3832,                 1.0422,                 1.3481,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2646,                0.81287,                 1.1465,                0.87238,                0.70852,                0.78674,                 0.4847,                 1.3969,                 1.0998,                 1.3411,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.2365,                0.77208,                 1.1242,                0.92808,                0.66158,                0.79943,                 0.4859,                 1.4071,                 1.0503,                 1.3405,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2676,                0.80553,                 1.1357,                0.88165,                0.73023,                 0.8196,                0.50015,                 1.3814,                 1.0185,                 1.3454,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2291,                0.77492,                 1.0974,                0.90832,                0.70792,                0.80623,                0.49838,                   1.33,                 1.0232,                 1.3233,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2221,                0.78841,                 1.1124,                0.83926,                0.77015,                0.80642,                0.48321,                 1.3788,                 1.0075,                 1.3484,             0.00047876,             0.00047876,             0.00047876
                     74,                  1.227,                0.77961,                 1.1332,                0.94133,                0.72111,                0.80321,                0.49552,                 1.3792,                 1.0188,                 1.3503,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.2394,                0.79114,                 1.1201,                0.92863,                 0.7256,                0.81729,                0.48964,                 1.4078,                0.97646,                 1.3561,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.2356,                0.74634,                 1.1227,                0.88912,                0.72681,                0.81048,                0.49524,                 1.3785,                 0.9662,                  1.363,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2622,                0.77217,                  1.134,                0.92365,                0.73594,                0.80995,                0.51126,                 1.3404,                0.97674,                 1.3321,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2223,                0.76871,                 1.1064,                0.86752,                0.75622,                0.81138,                0.48706,                 1.3714,                0.99514,                 1.3443,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2274,                0.75611,                 1.1113,                0.88548,                0.74649,                0.81513,                0.50449,                 1.3531,                 1.0171,                  1.323,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.2325,                0.76254,                 1.1221,                 0.9135,                0.73724,                0.81469,                0.49374,                 1.3799,                 0.9816,                 1.3365,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.2099,                0.73463,                 1.1089,                0.90743,                0.74076,                0.81701,                0.49825,                 1.3845,                0.97335,                 1.3339,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.1956,                0.72899,                 1.1205,                0.95769,                0.68527,                0.81051,                0.49172,                 1.3765,                 0.9915,                 1.3372,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.2261,                0.73333,                 1.1182,                 0.9596,                0.71039,                0.81686,                0.50802,                 1.3845,                0.96549,                 1.3432,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.2138,                0.72327,                 1.1092,                0.89406,                0.74986,                0.82379,                0.49258,                 1.3828,                0.90693,                 1.3497,             0.00029723,             0.00029723,             0.00029723
                     85,                  1.193,                0.71821,                 1.1146,                0.86481,                0.75196,                0.80967,                0.50242,                 1.3421,                0.98008,                  1.328,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.2104,                0.74318,                 1.1249,                0.95047,                 0.6977,                0.81676,                0.51192,                 1.3451,                0.95522,                  1.324,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2015,                0.72107,                  1.106,                0.94887,                0.72989,                0.81857,                 0.5124,                 1.3292,                0.94408,                  1.303,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.1919,                0.71013,                  1.099,                0.96406,                0.68078,                0.81331,                0.51132,                 1.3261,                0.98539,                 1.3099,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.1619,                0.71195,                 1.0963,                0.88187,                0.76576,                0.81523,                0.50113,                 1.3434,                0.98616,                 1.3206,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.1424,                0.68297,                  1.109,                 0.9207,                0.70887,                0.80942,                0.50586,                 1.3351,                  1.064,                 1.3117,             0.00019821,             0.00019821,             0.00019821
                     91,                  1.138,                0.67168,                 1.1003,                0.89268,                0.73414,                0.81958,                0.49847,                 1.3297,                0.97908,                 1.3223,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.1059,                0.64507,                 1.0851,                 0.8467,                0.77332,                0.82424,                 0.5014,                  1.373,                0.94687,                 1.3219,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.1092,                0.65619,                 1.1041,                0.88115,                0.73749,                0.81806,                0.50365,                 1.3487,                 1.0287,                 1.3182,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.0981,                0.66064,                 1.0889,                0.87761,                0.75446,                0.81377,                0.49953,                 1.3391,                 0.9878,                 1.3167,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.1179,                0.65431,                 1.0893,                0.88075,                0.76477,                0.82124,                0.49943,                 1.3499,                 1.0199,                 1.3162,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.0937,                0.63228,                 1.1022,                0.90251,                0.75197,                0.82584,                0.51183,                 1.3229,                0.98731,                 1.2979,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.1018,                0.63129,                 1.0999,                0.87603,                0.75434,                0.82404,                0.51762,                 1.3179,                0.96353,                 1.3027,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.0972,                0.63347,                 1.0938,                0.93415,                0.70139,                0.82009,                0.51042,                 1.3218,                 1.0096,                 1.3126,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.0857,                0.62965,                 1.0982,                0.90522,                0.72881,                0.81849,                0.51044,                 1.3422,                 1.0085,                 1.3177,             4.9677e-05,             4.9677e-05,             4.9677e-05
